Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,錯誤代碼,代碼訊息
1,2026/08/24,22:08:56,,,,,,Quit,100,停止中
2,2026/08/24,22:08:59,,,,,,Working,0,分析中
3,2026/08/24,22:09:04,,,,,,Standby,99,等待中
4,2026/08/24,22:09:07,,,,,,Quit,100,停止中
5,2026/08/24,22:09:15,,,,,,Working,0,分析中
6,2026/08/24,22:09:20,,,,,,Standby,99,等待中
7,2026/08/24,22:09:22,,,,,,Quit,100,停止中
8,2026/08/24,22:09:30,,,,,,Working,0,分析中
9,2026/08/24,22:09:36,,,,,,Standby,99,等待中
10,2026/08/24,22:09:38,,,,,,Quit,100,停止中
11,2026/08/24,22:09:49,,,,,,Working,0,分析中
12,2026/08/24,22:09:51,,,,,,Standby,99,等待中
13,2026/08/24,22:09:57,,,,,,Quit,100,停止中
14,2026/08/24,22:10:05,,,,,,Working,0,分析中
15,2026/08/24,22:10:07,,,,,,Standby,99,等待中
16,2026/08/24,22:10:12,,,,,,Quit,100,停止中
17,2026/08/24,22:10:20,,,,,,Working,0,分析中
18,2026/08/24,22:10:23,,,,,,Standby,99,等待中
19,2026/08/24,22:10:28,,,,,,Quit,100,停止中
20,2026/08/24,22:10:36,,,,,,Working,0,分析中
21,2026/08/24,22:10:39,,,,,,Standby,99,等待中
22,2026/08/24,22:10:44,,,,,,Quit,100,停止中
23,2026/08/24,22:10:52,,,,,,Working,0,分析中
24,2026/08/24,22:10:57,,,,,,Standby,99,等待中
25,2026/08/24,22:11:00,,,,,,Quit,100,停止中
26,2026/08/24,22:11:08,,,,,,Working,0,分析中
27,2026/08/24,22:11:13,,,,,,Standby,99,等待中
28,2026/08/24,22:11:16,,,,,,Quit,100,停止中
29,2026/08/24,22:11:24,,,,,,Working,0,分析中
30,2026/08/24,22:11:29,,,,,,Standby,99,等待中
31,2026/08/24,22:11:32,,,,,,Quit,100,停止中
32,2026/08/24,22:11:42,,,,,,Working,0,分析中
33,2026/08/24,22:11:45,,,,,,Standby,99,等待中
34,2026/08/24,22:11:50,,,,,,Quit,100,停止中
35,2026/08/24,22:11:58,,,,,,Working,0,分析中
36,2026/08/24,22:12:01,,,,,,Standby,99,等待中
37,2026/08/24,22:12:06,,,,,,Quit,100,停止中
38,2026/08/24,22:12:14,,,,,,Working,0,分析中
39,2026/08/24,22:12:16,,,,,,Standby,99,等待中
40,2026/08/24,22:12:21,,,,,,Quit,100,停止中
41,2026/08/24,22:12:29,,,,,,Working,0,分析中
42,2026/08/24,22:12:35,,,,,,Standby,99,等待中
43,2026/08/24,22:12:37,,,,,,Quit,100,停止中
44,2026/08/24,22:12:45,,,,,,Working,0,分析中
45,2026/08/24,22:12:51,,,,,,Standby,99,等待中
46,2026/08/24,22:12:53,,,,,,Quit,100,停止中
47,2026/08/24,22:13:01,,,,,,Working,0,分析中
48,2026/08/24,22:13:06,,,,,,Standby,99,等待中
49,2026/08/24,22:13:09,,,,,,Quit,100,停止中
50,2026/08/24,22:13:17,,,,,,Working,0,分析中
51,2026/08/24,22:13:22,,,,,,Standby,99,等待中
52,2026/08/24,22:13:25,,,,,,Quit,100,停止中
53,2026/08/24,22:13:33,,,,,,Working,0,分析中
54,2026/08/24,22:13:38,,,,,,Standby,99,等待中
55,2026/08/24,22:13:44,,,,,,Quit,100,停止中
56,2026/08/24,22:13:51,,,,,,Working,0,分析中
