Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,錯誤代碼,代碼訊息
1,2026/08/21,21:52:44,,,,,,Working,0,分析中
2,2026/08/21,21:52:44,,,,,,Error reset,105,Fe3+監控濃度在規格內
