Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,錯誤代碼,代碼訊息
1,2026/08/26,01:40:43,,,,,,Quit,100,停止中
2,2026/08/26,01:40:43,,,,,,Error reset,102,Cu2+ 監控濃度在規格內
3,2026/08/26,01:41:04,,,,,,Quit,100,停止中
4,2026/08/26,01:41:04,,,,,,Error reset,105,Fe3+監控濃度在規格內
5,2026/08/26,01:42:18,,,,,,Quit,100,停止中
6,2026/08/26,01:42:18,,,,,,Error reset,105,Fe3+監控濃度在規格內
