Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,Cu,Fe
1,2026/08/31,12:48:17,,,,,,Processing,2,2026/08/31,12:50:28,,,,,,Processing,2,2026/08/31,12:51:34,,,,,,Processing,2,2026/08/31,12:56:58,,,,,,Processing,2,2026/08/31,13:01:01,,,,,,Processing,2,2026/08/31,13:02:58,,,,,,Processing,72.362,
2,2026/08/31,13:03:47,,,,,,Processing,72.362,
3,2026/08/31,13:04:30,,,,,,Processing,72.362,
4,2026/08/31,13:05:01,,,,,,Processing,72.362,
5,2026/08/31,13:06:38,,,,,,Processing,72.362,
6,2026/08/31,13:07:02,,,,,,Processing,72.362,
7,2026/08/31,13:07:41,,,,,,Processing,72.362,
8,2026/08/31,13:08:15,,,,,,Processing,72.362,
9,2026/08/31,13:10:01,,,,,,Processing,72.362,
10,2026/08/31,13:10:35,,,,,,Processing,,72.362
11,2026/08/31,13:12:04,,,,,,Processing,,72.362
12,2026/08/31,13:12:43,,,,,,Processing,,72.362
13,2026/08/31,13:14:52,,,,,,Processing,,72.362
14,2026/08/31,13:15:47,,,,,,Processing,,72.362
15,2026/08/31,13:16:05,,,,,,Processing,,72.362
16,2026/08/31,13:16:31,,,,,,Processing,,72.362
17,2026/08/31,13:17:06,,,,,,Processing,,72.362
18,2026/08/31,13:17:40,,,,,,Processing,72.362,
19,2026/08/31,13:18:15,,,,,,Processing,72.362,
20,2026/08/31,13:19:45,,,,,,Processing,72.362,
21,2026/08/31,13:20:11,,,,,,Processing,72.362,
22,2026/08/31,13:22:10,,,,,,Processing,72.362,
23,2026/08/31,13:22:47,,,,,,Processing,72.362,
24,2026/08/31,13:23:50,,,,,,Processing,72.362,
25,2026/08/31,13:24:22,,,,,,Processing,72.362,
26,2026/08/31,13:25:01,,,,,,Processing,,72.362
27,2026/08/31,13:26:04,,,,,,Processing,72.362,
