Index,日期(Date),時間(Time),料號(PartNo),批號(LotID),JobNo (or Quarter information),工號(OPID),生產程式(Recipe),設備狀態,Cu,Fe
1,2026/09/09,17:08:24,,,,,,Processing,0,
2,2026/09/09,17:10:18,,,,,,Processing,190.623,
3,2026/09/09,17:13:08,,,,,,Processing,190.623,
4,2026/09/09,17:13:32,,,,,,Processing,190.623,
5,2026/09/09,17:14:37,,,,,,Processing,190.623,
6,2026/09/09,17:15:29,,,,,,Processing,190.623,
7,2026/09/09,17:15:45,,,,,,Processing,,190.623
8,2026/09/09,17:16:27,,,,,,Processing,190.623,
9,2026/09/09,17:17:32,,,,,,Processing,,190.156
10,2026/09/09,17:18:06,,,,,,Processing,,155.156
11,2026/09/09,17:38:03,,,,,,Processing,,155.156
12,2026/09/09,17:42:16,,,,,,Processing,,155.156
13,2026/09/09,17:56:35,,,,,,Processing,,155.156
14,2026/09/09,17:57:03,,,,,,Processing,,201.601
15,2026/09/09,17:57:32,,,,,,Processing,,201.601
16,2026/09/09,17:58:12,,,,,,Processing,201.601,
17,2026/09/09,17:59:03,,,,,,Processing,201.601,
18,2026/09/09,17:59:38,,,,,,Processing,197.601,
19,2026/09/09,18:00:32,,,,,,Processing,197.601,
20,2026/09/09,18:01:05,,,,,,Processing,193.601,
21,2026/09/09,18:01:43,,,,,,Processing,188.601,
22,2026/09/09,18:02:18,,,,,,Processing,183.601,
23,2026/09/09,18:04:20,,,,,,Processing,,181.601
24,2026/09/09,18:05:28,,,,,,Processing,,177.601
25,2026/09/09,18:06:15,,,,,,Processing,,177.601
26,2026/09/09,18:06:51,,,,,,Processing,,173.649
27,2026/09/09,18:07:39,,,,,,Processing,,169.649
28,2026/09/09,18:08:12,,,,,,Processing,,164.649
29,2026/09/09,18:25:51,,,,,,Processing,,164.649
30,2026/09/09,18:32:28,,,,,,Processing,,164.649
