[2026/09/02 00:00:12] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:17] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:02] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:02] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:08] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:13] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:19] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:10] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:16] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:57] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:03] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:08] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:13] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:19] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:24] _onList write : 1/1 ; _backToOffList write : 0/1
[2026/09/02 00:00:29] _onList write : 1/1 ; _backToOffList write : 1/1
[2026/09/02 00:00:36] _onList write : 0/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:41] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:47] _onList write : 1/1 ; _backToOffList write : 0/0
[2026/09/02 00:00:52] _onList write : 1/1 ; _backToOffList write : 0/1
