[2026/08/24 22:11:32] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:34] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:37] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:11:40] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:11:42] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:45] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:47] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:50] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:11:53] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:11:55] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:11:58] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:01] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:03] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:06] _runnung:False ; _waiting:False ; _stopping:True ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:08] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:12:11] _runnung:False ; _waiting:False ; _stopping:False ; _brokening:True ; _alerting:False 
[2026/08/24 22:12:14] _runnung:True ; _waiting:False ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:16] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
[2026/08/24 22:12:19] _runnung:False ; _waiting:True ; _stopping:False ; _brokening:False ; _alerting:False 
