Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/08/17,16:54:35.376,停機故障
2,2026/08/17,17:08:07.514,停機故障
3,2026/08/17,17:10:03.587,停機故障
4,2026/08/17,17:11:52.141,停機故障
5,2026/08/17,17:12:55.272,停機故障
6,2026/08/17,17:13:46.864,停機故障
7,2026/08/17,17:14:41.508,停機故障
8,2026/08/17,17:15:22.924,停機故障
9,2026/08/17,17:19:41.059,停機故障
10,2026/08/17,17:23:01.225,停機故障
11,2026/08/17,17:23:09.942,停機故障
12,2026/08/17,17:23:26.058,停機故障
13,2026/08/17,17:23:50.429,停機故障
14,2026/08/17,17:24:03.674,停機故障
15,2026/08/17,17:24:39.877,停機故障
16,2026/08/17,17:25:48.339,停機故障
17,2026/08/17,17:35:59.463,停機故障
18,2026/08/17,17:36:36.462,停機故障
19,2026/08/17,17:37:29.562,停機故障
20,2026/08/17,17:44:20.792,停機故障
21,2026/08/17,17:47:06.133,停機故障
22,2026/08/17,17:51:58.417,停機故障
23,2026/08/17,17:52:05.708,停機故障
24,2026/08/17,17:52:17.975,停機故障
25,2026/08/17,17:53:57.923,停機故障
26,2026/08/17,17:54:59.681,停機故障
27,2026/08/17,17:56:09.219,停機故障
28,2026/08/17,17:57:17.543,停機故障
29,2026/08/17,18:01:09.968,停機故障
30,2026/08/17,18:04:09.371,停機故障
31,2026/08/17,18:04:16.230,停機故障
32,2026/08/17,18:05:22.275,停機故障
33,2026/08/17,18:05:30.700,停機故障
34,2026/08/17,18:15:14.256,停機故障
35,2026/08/17,18:16:53.950,停機故障
36,2026/08/17,18:19:47.350,停機故障
37,2026/08/17,18:21:31.340,停機故障
38,2026/08/17,18:23:23.740,停機故障
39,2026/08/17,18:23:46.537,停機故障
40,2026/08/17,18:24:33.908,停機故障
