Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/08/21,12:00:42.207,分析中
2,2026/08/21,12:01:05.184,分析中
3,2026/08/21,12:12:28.103,分析中
4,2026/08/21,12:12:50.634,停止中
5,2026/08/21,12:13:13.353,停機故障
6,2026/08/21,12:14:47.065,停機故障
7,2026/08/21,12:16:57.641,停機故障
8,2026/08/21,12:17:20.304,等待中
9,2026/08/21,12:22:12.784,停機故障
10,2026/08/21,12:23:13.100,停機故障
11,2026/08/21,12:23:38.597,等待中
12,2026/08/21,12:39:42.377,停機故障
13,2026/08/21,12:40:30.790,等待中
14,2026/08/21,12:41:40.001,停機故障
15,2026/08/21,12:44:16.815,停機故障
16,2026/08/21,12:44:27.431,等待中
17,2026/08/21,12:48:16.887,停機故障
18,2026/08/21,12:48:25.023,等待中
19,2026/08/21,12:52:39.278,停機故障
20,2026/08/21,12:52:52.469,等待中
21,2026/08/21,12:54:05.224,停機故障
22,2026/08/21,12:54:10.558,等待中
23,2026/08/21,15:51:24.622,停機故障
24,2026/08/21,15:51:30.401,等待中
25,2026/08/21,15:58:52.833,停機故障
26,2026/08/21,15:59:04.192,等待中
27,2026/08/21,15:59:43.905,停機故障
28,2026/08/21,15:59:49.943,停機故障
29,2026/08/21,16:00:02.912,停機故障
30,2026/08/21,16:00:13.505,等待中
31,2026/08/21,17:56:07.573,停機故障
32,2026/08/21,17:58:42.633,停機故障
33,2026/08/21,17:58:55.100,等待中
34,2026/08/21,18:01:41.351,停機故障
35,2026/08/21,18:01:51.473,等待中
36,2026/08/21,18:08:39.762,停機故障
37,2026/08/21,18:08:49.795,等待中
38,2026/08/21,18:10:37.461,等待中
39,2026/08/21,18:10:47.334,停機故障
40,2026/08/21,18:11:27.209,分析中
41,2026/08/21,18:14:46.967,停機故障
42,2026/08/21,18:14:57.017,等待中
43,2026/08/21,18:18:50.308,停機故障
44,2026/08/21,18:19:00.343,等待中
45,2026/08/21,18:19:38.362,停機故障
46,2026/08/21,18:19:53.708,分析中
47,2026/08/21,18:20:23.698,停機故障
48,2026/08/21,18:24:16.571,停機故障
49,2026/08/21,18:24:34.147,等待中
50,2026/08/21,18:25:06.920,停機故障
51,2026/08/21,18:25:32.006,分析中
52,2026/08/21,18:27:10.246,停機故障
53,2026/08/21,18:27:43.054,等待中
54,2026/08/21,21:12:17,等待中
55,2026/08/21,21:12:44,等待中
56,2026/08/21,21:22:01,等待中
57,2026/08/21,21:25:13,等待中
58,2026/08/21,21:25:41,等待中
59,2026/08/21,21:26:20,等待中
60,2026/08/21,21:27:05,等待中
61,2026/08/21,21:29:38,等待中
62,2026/08/21,21:30:43,等待中
63,2026/08/21,21:33:01,等待中
64,2026/08/21,21:34:16,等待中
65,2026/08/21,21:34:52,等待中
66,2026/08/21,21:35:40,等待中
67,2026/08/21,21:36:51,等待中
68,2026/08/21,21:38:17,等待中
69,2026/08/21,21:40:04,等待中
70,2026/08/21,21:40:44,等待中
71,2026/08/21,21:41:18,等待中
72,2026/08/21,21:43:10,分析中
73,2026/08/21,21:44:12,分析中
74,2026/08/21,21:44:36,分析中
75,2026/08/21,21:46:10,分析中
76,2026/08/21,21:46:32,分析中
77,2026/08/21,21:47:47,分析中
78,2026/08/21,21:48:24,分析中
79,2026/08/21,21:50:34,分析中
80,2026/08/21,21:52:44,分析中
