Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/09/01,21:20:01,分析中
2,2026/09/01,21:20:01,警告
3,2026/09/01,21:22:48,分析中
4,2026/09/01,21:22:48,警告
5,2026/09/01,21:24:41,警告
6,2026/09/01,21:26:23,分析中
7,2026/09/01,21:26:23,警告
8,2026/09/01,21:28:04,分析中
9,2026/09/01,21:28:28,警告
10,2026/09/01,21:29:59,警告
11,2026/09/01,23:59:39,分析中
12,2026/09/01,23:59:39,警告
13,2026/09/01,23:59:53,分析中
14,2026/09/01,23:59:53,警告
15,2026/09/01,23:59:14,分析中
16,2026/09/01,23:59:14,警告
17,2026/09/01,23:59:54,分析中
18,2026/09/01,23:59:04,分析中
19,2026/09/01,23:59:04,警告
20,2026/09/01,23:59:50,分析中
21,2026/09/01,21:56:46,分析中
22,2026/09/01,21:56:46,警告
