Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/09/09,17:42:16,分析中
2,2026/09/09,17:56:35,分析中
3,2026/09/09,17:56:41,警告
4,2026/09/09,17:57:03,分析中
5,2026/09/09,17:57:03,警告
6,2026/09/09,17:57:32,分析中
7,2026/09/09,17:57:32,警告
8,2026/09/09,17:58:09,分析中
9,2026/09/09,17:58:09,警告
10,2026/09/09,17:59:03,分析中
11,2026/09/09,17:59:03,警告
12,2026/09/09,18:00:32,分析中
13,2026/09/09,18:00:32,警告
14,2026/09/09,18:06:15,分析中
15,2026/09/09,18:06:15,警告
16,2026/09/09,18:25:51,分析中
17,2026/09/09,18:25:51,警告
18,2026/09/09,18:32:28,分析中
19,2026/09/09,18:32:28,警告
