Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/07/31,00:02:49,分析中
2,2026/07/31,00:02:54,警告
3,2026/07/31,00:05:15,分析中
4,2026/07/31,00:05:18,警告
5,2026/07/31,00:07:03,分析中
6,2026/07/31,00:07:11,警告
7,2026/07/31,00:09:06,分析中
8,2026/07/31,00:09:11,警告
9,2026/07/31,00:09:52,分析中
10,2026/07/31,00:09:55,警告
11,2026/07/31,00:10:30,分析中
12,2026/07/31,00:10:35,警告
13,2026/07/31,00:12:46,分析中
14,2026/07/31,00:12:56,警告
15,2026/07/31,00:15:04,分析中
16,2026/07/31,00:15:08,警告
17,2026/07/31,00:15:09,警告
18,2026/07/31,00:16:08,分析中
19,2026/07/31,00:16:13,警告
20,2026/07/31,00:17:13,分析中
21,2026/07/31,00:17:20,警告
22,2026/07/31,12:03:43,分析中
23,2026/07/31,12:04:35,警告
24,2026/07/31,12:06:39,警告
25,2026/07/31,12:07:26,警告
26,2026/07/31,12:15:09.284,分析中
27,2026/07/31,12:15:12.001,警告
28,2026/07/31,12:19:09.982,分析中
