Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/08/31,12:48:16,分析中
2,2026/08/31,12:50:28,分析中
3,2026/08/31,12:51:34,分析中
4,2026/08/31,12:56:58,分析中
5,2026/08/31,13:01:01,分析中
6,2026/08/31,13:02:58,分析中
7,2026/08/31,13:03:32,警告
8,2026/08/31,13:06:38,分析中
9,2026/08/31,13:07:25,警告
10,2026/08/31,13:11:24,停機故障
11,2026/08/31,13:11:45,分析中
12,2026/08/31,13:11:51,警告
13,2026/08/31,13:14:14,警告
14,2026/08/31,13:14:51,分析中
15,2026/08/31,13:14:51,警告
16,2026/08/31,13:16:24,警告
17,2026/08/31,13:18:04,警告
18,2026/08/31,13:19:32,警告
19,2026/08/31,13:22:39,警告
20,2026/08/31,13:24:16,警告
21,2026/08/31,13:25:56,警告
