Index,日期(Date),時間(Time),設備狀態(Status)
1,2026/08/24,22:08:56,停止中
2,2026/08/24,22:08:59,分析中
3,2026/08/24,22:09:04,等待中
4,2026/08/24,22:09:07,停止中
5,2026/08/24,22:09:12,停機故障
6,2026/08/24,22:09:15,分析中
7,2026/08/24,22:09:20,等待中
8,2026/08/24,22:09:22,停止中
9,2026/08/24,22:09:28,停機故障
10,2026/08/24,22:09:30,分析中
11,2026/08/24,22:09:36,等待中
12,2026/08/24,22:09:38,停止中
13,2026/08/24,22:09:44,停機故障
14,2026/08/24,22:09:49,分析中
15,2026/08/24,22:09:51,等待中
16,2026/08/24,22:09:57,停止中
17,2026/08/24,22:09:59,停機故障
18,2026/08/24,22:10:05,分析中
19,2026/08/24,22:10:07,等待中
20,2026/08/24,22:10:12,停止中
21,2026/08/24,22:10:15,停機故障
22,2026/08/24,22:10:20,分析中
23,2026/08/24,22:10:23,等待中
24,2026/08/24,22:10:28,停止中
25,2026/08/24,22:10:31,停機故障
26,2026/08/24,22:10:36,分析中
27,2026/08/24,22:10:39,等待中
28,2026/08/24,22:10:44,停止中
29,2026/08/24,22:10:49,停機故障
30,2026/08/24,22:10:52,分析中
31,2026/08/24,22:10:57,等待中
32,2026/08/24,22:11:00,停止中
33,2026/08/24,22:11:05,停機故障
34,2026/08/24,22:11:08,分析中
35,2026/08/24,22:11:13,等待中
36,2026/08/24,22:11:16,停止中
37,2026/08/24,22:11:21,停機故障
38,2026/08/24,22:11:24,分析中
39,2026/08/24,22:11:29,等待中
40,2026/08/24,22:11:32,停止中
41,2026/08/24,22:11:37,停機故障
42,2026/08/24,22:11:42,分析中
43,2026/08/24,22:11:45,等待中
44,2026/08/24,22:11:50,停止中
45,2026/08/24,22:11:53,停機故障
46,2026/08/24,22:11:58,分析中
47,2026/08/24,22:12:01,等待中
48,2026/08/24,22:12:06,停止中
49,2026/08/24,22:12:08,停機故障
50,2026/08/24,22:12:14,分析中
51,2026/08/24,22:12:16,等待中
52,2026/08/24,22:12:21,停止中
53,2026/08/24,22:12:24,停機故障
54,2026/08/24,22:12:29,分析中
55,2026/08/24,22:12:35,等待中
56,2026/08/24,22:12:37,停止中
57,2026/08/24,22:12:43,停機故障
58,2026/08/24,22:12:45,分析中
59,2026/08/24,22:12:50,等待中
60,2026/08/24,22:12:53,停止中
61,2026/08/24,22:12:58,停機故障
62,2026/08/24,22:13:01,分析中
63,2026/08/24,22:13:06,等待中
64,2026/08/24,22:13:09,停止中
65,2026/08/24,22:13:14,停機故障
66,2026/08/24,22:13:17,分析中
67,2026/08/24,22:13:22,等待中
68,2026/08/24,22:13:25,停止中
69,2026/08/24,22:13:30,停機故障
70,2026/08/24,22:13:33,分析中
71,2026/08/24,22:13:38,等待中
72,2026/08/24,22:13:44,停止中
73,2026/08/24,22:13:46,停機故障
74,2026/08/24,22:13:51,分析中
75,2026/08/24,22:13:54,等待中
76,2026/08/24,22:13:59,停止中
77,2026/08/24,22:14:02,停機故障
78,2026/08/24,22:14:07,分析中
79,2026/08/24,22:14:10,等待中
80,2026/08/24,22:14:15,停止中
81,2026/08/24,22:14:18,停機故障
82,2026/08/24,22:14:23,分析中
83,2026/08/24,22:14:26,等待中
84,2026/08/24,22:14:31,停止中
85,2026/08/24,22:14:34,停機故障
86,2026/08/24,22:14:39,分析中
87,2026/08/24,22:14:44,等待中
88,2026/08/24,22:14:47,停止中
89,2026/08/24,22:14:50,停機故障
90,2026/08/24,22:14:55,分析中
91,2026/08/24,22:15:00,等待中
92,2026/08/24,22:15:03,停止中
93,2026/08/24,22:15:08,停機故障
94,2026/08/24,22:15:11,分析中
95,2026/08/24,22:15:16,等待中
96,2026/08/24,22:15:19,停止中
97,2026/08/24,22:15:24,停機故障
98,2026/08/24,22:15:27,分析中
99,2026/08/24,22:15:32,等待中
100,2026/08/24,22:15:35,停止中
101,2026/08/24,22:15:40,停機故障
102,2026/08/24,22:15:43,分析中
103,2026/08/24,22:15:48,等待中
104,2026/08/24,22:15:51,停止中
105,2026/08/24,22:15:56,停機故障
106,2026/08/24,22:15:59,分析中
107,2026/08/24,22:16:04,等待中
108,2026/08/24,22:16:07,停止中
109,2026/08/24,22:16:12,停機故障
110,2026/08/24,22:16:17,分析中
111,2026/08/24,22:16:20,等待中
112,2026/08/24,22:16:25,停止中
113,2026/08/24,22:16:28,停機故障
114,2026/08/24,22:16:33,分析中
115,2026/08/24,22:16:36,等待中
116,2026/08/24,22:16:41,停止中
117,2026/08/24,22:16:44,停機故障
118,2026/08/24,22:16:49,分析中
119,2026/08/24,22:16:51,等待中
120,2026/08/24,22:16:57,停止中
121,2026/08/24,22:16:59,停機故障
122,2026/08/24,22:17:05,分析中
123,2026/08/24,22:17:07,等待中
124,2026/08/24,22:17:13,停止中
125,2026/08/24,22:17:18,停機故障
126,2026/08/24,22:17:21,分析中
127,2026/08/24,22:17:26,等待中
128,2026/08/24,22:17:29,停止中
129,2026/08/24,22:17:34,停機故障
130,2026/08/24,22:17:37,分析中
131,2026/08/24,22:17:42,等待中
132,2026/08/24,22:17:45,停止中
133,2026/08/24,22:17:50,停機故障
134,2026/08/24,22:17:53,分析中
135,2026/08/24,22:17:58,等待中
136,2026/08/24,22:18:01,停止中
137,2026/08/24,22:18:06,停機故障
138,2026/08/24,22:18:09,分析中
139,2026/08/24,22:18:14,等待中
140,2026/08/24,22:18:16,停止中
141,2026/08/24,22:18:22,停機故障
142,2026/08/24,22:18:24,分析中
143,2026/08/24,22:18:30,等待中
144,2026/08/24,22:18:32,停止中
145,2026/08/24,22:18:38,停機故障
146,2026/08/24,22:18:40,分析中
147,2026/08/24,22:18:46,等待中
148,2026/08/24,22:18:51,停止中
149,2026/08/24,22:18:54,停機故障
150,2026/08/24,22:18:59,分析中
151,2026/08/24,22:19:02,等待中
152,2026/08/24,22:19:07,停止中
153,2026/08/24,22:19:10,停機故障
154,2026/08/24,22:19:15,分析中
155,2026/08/24,22:19:18,等待中
156,2026/08/24,22:19:23,停止中
157,2026/08/24,22:19:26,停機故障
158,2026/08/24,22:19:31,分析中
159,2026/08/24,22:19:34,等待中
160,2026/08/24,22:19:39,停止中
161,2026/08/24,22:19:42,停機故障
162,2026/08/24,22:19:47,分析中
163,2026/08/24,22:19:50,等待中
164,2026/08/24,22:19:55,停止中
165,2026/08/24,22:19:58,停機故障
166,2026/08/24,22:20:03,分析中
167,2026/08/24,22:20:06,等待中
168,2026/08/24,22:20:11,停止中
169,2026/08/24,22:20:14,停機故障
170,2026/08/24,22:20:19,分析中
171,2026/08/24,22:20:22,等待中
172,2026/08/24,22:20:28,停止中
173,2026/08/24,22:20:30,停機故障
174,2026/08/24,22:20:36,分析中
175,2026/08/24,22:20:38,等待中
176,2026/08/24,22:20:44,停止中
177,2026/08/24,22:20:46,停機故障
178,2026/08/24,22:20:52,分析中
179,2026/08/24,22:20:55,等待中
180,2026/08/24,22:21:00,停止中
181,2026/08/24,22:21:03,停機故障
182,2026/08/24,22:21:08,分析中
183,2026/08/24,22:21:11,等待中
184,2026/08/24,22:21:16,停止中
185,2026/08/24,22:21:19,停機故障
186,2026/08/24,22:21:24,分析中
187,2026/08/24,22:21:27,等待中
188,2026/08/24,22:21:32,停止中
189,2026/08/24,22:21:35,停機故障
190,2026/08/24,22:21:41,分析中
191,2026/08/24,22:21:47,等待中
192,2026/08/24,22:21:50,停止中
193,2026/08/24,22:21:53,停機故障
194,2026/08/24,22:21:58,分析中
195,2026/08/24,22:22:04,等待中
196,2026/08/24,22:22:06,停止中
197,2026/08/24,22:22:12,停機故障
198,2026/08/24,22:22:14,分析中
199,2026/08/24,22:22:20,等待中
200,2026/08/24,22:22:22,停止中
201,2026/08/24,22:22:28,停機故障
202,2026/08/24,22:22:30,分析中
203,2026/08/24,23:54:38,分析中
204,2026/08/24,23:54:38,警告
